"","icon","id","name","place_id","reference","scope","vicinity","business_status","price_level","rating","user_ratings_total","opening_hours.open_now","plus_code.compound_code","plus_code.global_code","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","locality","political","bar","restaurant","food","point_of_interest","establishment","cafe","store","real_estate_agency","park","tourist_attraction","accounting","finance","general_contractor","beauty_salon","neighborhood","liquor_store","lawyer","physiotherapist","health","art_gallery","museum","hindu_temple","place_of_worship","book_store","gym","clothing_store"
"48","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","3d11bc608ad4d410445c29cbf9557e70efb07f15","TOD Properties","ChIJ___bfFF-bIcRgGNnt0Qsqp8","ChIJ___bfFF-bIcRgGNnt0Qsqp8","GOOGLE","1363 South Washington Street, Denver","OPERATIONAL",NA,NA,NA,NA,"M2RC+P5 Denver, Colorado, United States","85FQM2RC+P5",39.6918485,-104.9795699,39.6931971802915,-104.978076019708,39.6904992197085,-104.980773980292,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","c7ba17d34ab1ce8e2094d29af3195f46fe26b9d1","Heilan Coo","ChIJ__8L901-bIcRuQNhU68ZmEk","ChIJ__8L901-bIcRuQNhU68ZmEk","GOOGLE","1551 South Pearl Street, Denver","OPERATIONAL",NA,5,1,NA,"M2Q9+9Q Denver, Colorado, United States","85FQM2Q9+9Q",39.6884393,-104.9806197,39.6897877302915,-104.979177369708,39.6870897697085,-104.981875330292,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","0a89bc0f7b43f1a2db0ef565b44884fb3d070457","Facials by Theresa","ChIJq6oO5FN-bIcRJL1UJ3blEKA","ChIJq6oO5FN-bIcRJL1UJ3blEKA","GOOGLE","1306 South Pearl Street, Denver","OPERATIONAL",NA,5,2,NA,"M2V9+4W Denver, Colorado, United States","85FQM2V9+4W",39.6928345,-104.9801633,39.6941668802915,-104.978745219709,39.6914689197085,-104.981443180292,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"51","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","ff7c0da3da9bced3cc01f479a0fa393d6298e9be","Van Der Jagt Law Firm","ChIJafNTH1J-bIcRZ4dMgiVPOcs","ChIJafNTH1J-bIcRZ4dMgiVPOcs","GOOGLE","1468 South Pearl Street, Denver","OPERATIONAL",NA,4.2,30,TRUE,"M2Q9+XW Denver, Colorado, United States","85FQM2Q9+XW",39.6899263,-104.9801815,39.6912763802915,-104.978957019709,39.6885784197085,-104.981654980291,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"52","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","fe21c697a9e8dda9cf8d635d57ba51629f665ba2","dal construction","ChIJS4V3bFF-bIcRWEZdYsa8MbA","ChIJS4V3bFF-bIcRWEZdYsa8MbA","GOOGLE","1313 South Clarkson Street, Denver","OPERATIONAL",NA,NA,NA,NA,"M2RC+WH Denver, Colorado, United States","85FQM2RC+WH",39.6923499,-104.9785458,39.6936569802915,-104.977164969708,39.6909590197085,-104.979862930292,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","aa6d32f109a0d16a94bb4ad9bb3954ffaab014d4","William J. Feldhake, PT","ChIJv062_k1-bIcRr5SVCksexIs","ChIJv062_k1-bIcRr5SVCksexIs","GOOGLE","1550 South Pearl Street # 101, Denver","OPERATIONAL",NA,NA,NA,NA,"M2Q9+9W Denver, Colorado, United States","85FQM2Q9+9W",39.6884722,-104.9801462,39.6897849302915,-104.978797119709,39.6870869697085,-104.981495080291,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"54","https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png","d0699dc571ce9a15204b9fbf239392c2d5c94a4f","Common Threads Denver","ChIJ5S0HfSt5bIcRXA4NpF4Vh08","ChIJ5S0HfSt5bIcRXA4NpF4Vh08","GOOGLE","1575 South Pearl Street, Denver","OPERATIONAL",NA,4.4,57,TRUE,"M2Q9+5Q Denver, Colorado, United States","85FQM2Q9+5Q",39.6879942,-104.9805941,39.6893429302915,-104.979165869708,39.6866449697085,-104.981863830292,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"55","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","abe601e7269721fc226a9b4bf7ff73c70cea56e4","Rick Ginsberg, Ph.D.","ChIJmbPHCFJ-bIcRaIjDaJ2LMW8","ChIJmbPHCFJ-bIcRaIjDaJ2LMW8","GOOGLE","1521 South Pearl Street, Denver","OPERATIONAL",NA,NA,NA,NA,"M2Q9+HP Denver, Colorado, United States","85FQM2Q9+HP",39.6888895,-104.9806425,39.6902379302915,-104.979186669708,39.6875399697085,-104.981884630292,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56","https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png","7803aa381fa3e5070e53246f8bd91210fe4fa388","YAO Herbal Apothecary, Clinic & Tea Market","ChIJ75V0XFF-bIcRziT_uw2yn_g","ChIJ75V0XFF-bIcRziT_uw2yn_g","GOOGLE","1305 South Washington Street, Denver","OPERATIONAL",NA,4.8,23,TRUE,"M2VC+45 Denver, Colorado, United States","85FQM2VC+45",39.692836,-104.9795,39.6941848302915,-104.978039319709,39.6914868697085,-104.980737280292,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"57","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","819f9a9f977f667a1a2933018be07fe7c7c57bd3","R.L. Linden","ChIJq6q6701-bIcRngyNT--aNgY","ChIJq6q6701-bIcRngyNT--aNgY","GOOGLE","1581 South Pearl Street, Denver","OPERATIONAL",NA,NA,NA,NA,"M2Q9+4P Denver, Colorado, United States","85FQM2Q9+4P",39.6878648,-104.9806425,39.6892134302915,-104.979190419709,39.6865154697085,-104.981888380291,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","f929a4652a7f4d85ae02d562a9aa280b7f7bb0bd","Bodies In Balance Therapeutic Massage","ChIJv062_k1-bIcROBlV-VU1bLM","ChIJv062_k1-bIcROBlV-VU1bLM","GOOGLE","1550 South Pearl Street, Denver","OPERATIONAL",NA,NA,NA,TRUE,"M2Q9+9V Denver, Colorado, United States","85FQM2Q9+9V",39.6884424,-104.9803073,39.6897799802915,-104.978958269708,39.6870820197085,-104.981656230292,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","9bdba8604c5e59f28901d40937ecab97464f0bd4","Denver Immigration Attorneys","ChIJCXVSH1J-bIcRNPCrDRxYINs","ChIJCXVSH1J-bIcRNPCrDRxYINs","GOOGLE","1468 South Pearl Street B, Denver","OPERATIONAL",NA,NA,NA,NA,"M2Q9+XW Denver, Colorado, United States","85FQM2Q9+XW",39.6899197,-104.9801628,39.6912680802915,-104.978947669709,39.6885701197085,-104.981645630291,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"60","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","d99f38bdd3aacb698e83e8606a515397e5184979","Skin","ChIJ7bsLHFJ-bIcRhtJcCYQNrPc","ChIJ7bsLHFJ-bIcRhtJcCYQNrPc","GOOGLE","1486 South Pearl Street, Denver","OPERATIONAL",NA,5,1,TRUE,"M2Q9+RV Denver, Colorado, United States","85FQM2Q9+RV",39.6895681,-104.9803258,39.6909168302915,-104.979027819709,39.6882188697085,-104.981725780291,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
