"","Main_Location","Date","Dir","AM_PHV","PM_PHV","ADT","AAWDT","AAWET","Intersection","formatted_address","geometry.location.lat","geometry.location.lng"
"50","29th AVE",2011-01-18,"WB",122,83,NA,916,NA,"CENTRAL PARK BLVD","Central Park Blvd & 29th Ave, Denver, CO 80238, USA","39.7580975","-104.8903543"
"51","29th AVE",2011-08-30,"EB",483,549,NA,4990,NA,"HAVANA ST","7352 E 29th Ave, Denver, CO 80238, USA","39.7579054","-104.9009599"
"52","2ND AVE",2006-05-23,"EB",545,547,NA,NA,NA,"CLAYTON","Clayton St & E 2nd Ave, Denver, CO 80206, USA","39.7194157","-104.9558651"
"53","2ND AVE",2006-05-23,"WB",246,285,NA,NA,NA,"FILLMORE","Fillmore St & E 2nd Ave, Denver, CO 80206, USA","39.7194151","-104.9534116"
"54","2ND AVE",2006-05-23,"WB",256,283,NA,NA,NA,"MILWAUKEE","Milwaukee St & E 2nd Ave, Denver, CO 80206, USA","39.7194126","-104.9522082"
"55","2ND AVE",2006-05-23,"WB",241,272,NA,NA,NA,"ST PAUL","St Paul St & E 2nd Ave, Denver, CO 80206, USA","39.7194105","-104.9510066"
"56","30TH AVE",2006-02-07,"WB",53,84,NA,NA,NA,"ZUNI","Zuni St & W 30th Ave, Denver, CO 80211, USA","39.759647","-105.0158302"
"57","30th STREET",2012-08-20,"SB",32,48,NA,440,NA,"LAWRENCE ","Lawrence St & 30th St, Denver, CO 80205, USA","39.761632","-104.9796576"
"58","30th STREET",2012-08-20,"SB",32,48,NA,440,NA," LARIMAR","1450 Larimer Square, Denver, CO 80202, USA","39.7482602","-105.0001395"
"59","32ND AVE",2006-02-07,"EB",292,362,NA,NA,NA,"CLAY ST","Clay St & W 32nd Ave, Denver, CO 80211, USA","39.7620184","-105.0205196"
"60","32nd STREET",2012-08-20,"SB",26,42,NA,397,NA,"LAWRENCE ","Lawrence St & 32nd St, Denver, CO 80205, USA","39.7634875","-104.9772414"
"61","32nd STREET",2012-08-20,"SB",17,15,NA,147,NA,"WALNUT ","Walnut St & 32nd St, Denver, CO 80205, USA","39.7648367","-104.978985"
"62","32nd STREET",2012-08-20,"SB",26,42,NA,397,NA," LARIMAR","Denver, CO, USA","39.7392358","-104.990251"
"63","33rd AVE",2013-05-03,"EB",62,58,NA,487,NA,"CENTRAL PARK BLVD ","Central Park Blvd & E 33rd Ave, Denver, CO 80238, USA","39.763027","-104.8903555"
"64","33rd AVE",2013-05-03,"EB",62,58,NA,487,NA," VALENTIA","E 33rd Ave, Denver, CO 80238, USA","39.763009","-104.8856948"
"65","33rd AVE",2013-05-03,"WB",106,95,NA,1073,NA," WALBASH","Wabash St, Denver, CO, USA","39.7630256","-104.8892426"
"66","33RD AVE",2009-08-12,"EB/WB",73,66,NA,NA,NA,"AKRON CT","E 33rd Ave & Akron Ct, Denver, CO 80238, USA","39.7629952","-104.8826989"
"67","33RD AVE",2009-08-12,"EB/WB",20,20,NA,NA,NA,"BEELER ST","E 33rd Ave & Beeler St, Denver, CO 80238, USA","39.7629658","-104.8798168"
"68","33RD AVE",2009-08-12,"EB/WB",86,84,NA,NA,NA,"XANTHIA CT","E 33rd Ave & Xanthia Ct, Denver, CO 80238, USA","39.7630156","-104.8864615"
"69","35TH",2008-04-09,"EB",131,81,NA,NA,NA,"LOWELL","Lowell Blvd & W 35th Ave, Denver, CO 80211, USA","39.7657533","-105.0346296"
"70","38TH AVE",2006-05-23,"WB",854,1629,NA,NA,NA,"PERRY ST","Perry St & W 38th Ave, Denver, CO 80212, USA","39.7694388","-105.0393259"
